c_nuber;JP Partner;C_year;Status;C_title;s_date;Responsabl;F_date;PCode;PName;L_PName;PName;L_PName;Planed_amo;Amo_Province;Sector;X;Y;Sector
302650;European Union;2014;Ongoing;Capacity enhancement to integrate ecosystem-based adaptation into sub-national development planning in Laos PDR;18.03.2014;OLIVER-CRUZ IGNACIO;10.01.2019;6;Louangphabang;?????????;Luangprabang;?. ???????????;658492;219497;Agriculture and rural development;243140,5795;2226599,839;Agriculture and rural development
302650;European Union;2014;Ongoing;Capacity enhancement to integrate ecosystem-based adaptation into sub-national development planning in Laos PDR;18.03.2014;OLIVER-CRUZ IGNACIO;10.01.2019;2;Phongsaly;????????;Phongsaly;?. ??????????;658492;219497;Agriculture and rural development;214551,4531;2396452,242;Agriculture and rural development
302650;European Union;2014;Ongoing;Capacity enhancement to integrate ecosystem-based adaptation into sub-national development planning in Laos PDR;18.03.2014;OLIVER-CRUZ IGNACIO;10.01.2019;7;Houaphan;??????;Huaphanh;??. ???????;658492;219497;Agriculture and rural development;396388,9558;2243602,685;Agriculture and rural development
339985;European Union;2014;Ongoing;Improving accountability in Health Financing and functioning of National Health Insurance Branches in two Provinces;17.07.2014;VONGSALY CHINDAVANH;15.01.2019;10;Vientiane;??????;Vientiane;?. ???????;900000;450000;Health;196432,3932;2062692,358;Health
339985;European Union;2014;Ongoing;Improving accountability in Health Financing and functioning of National Health Insurance Branches in two Provinces;17.07.2014;VONGSALY CHINDAVANH;15.01.2019;6;Louangphabang;?????????;Luangprabang;?. ???????????;900000;450000;Health;243140,5795;2226599,839;Health
352245;European Union;2014;Ongoing;Capacity Development for Citizen-lead Inclusive Development (CD-CID);01.01.2015;SETHANAPHAIXANH PHONESAVANH;30.06.2019;13;Savannakhet;???????????;Savannakhet;?. ??????????????;990000;330000;Governance;575095,9569;1830288,616;Governance
352245;European Union;2014;Ongoing;Capacity Development for Citizen-lead Inclusive Development (CD-CID);01.01.2015;SETHANAPHAIXANH PHONESAVANH;30.06.2019;12;Khammouan;??????;Khammuane;???. ???????;990000;330000;Governance;527368,6569;1942822,341;Governance
352245;European Union;2014;Ongoing;Capacity Development for Citizen-lead Inclusive Development (CD-CID);01.01.2015;SETHANAPHAIXANH PHONESAVANH;30.06.2019;5;Bokeo;???????;Bokeo;?. ????????;990000;330000;Governance;43321,0326;2257879,045;Governance
306705;European Union;2012;Ongoing;Strengthening the Capacity of Organisations for Poverty Eradication (SCOPE);02.01.2013;SENEKHAMTY Inpone;31.01.2018;13;Savannakhet;???????????;Savannakhet;?. ??????????????;995505;995505;Nutrition ;575095,9569;1830288,616;Nutrition 
306707;European Union;2012;Ongoing;Partnerships for Poverty Reduction and Women's Empowerment in Dakcheung Project (PWED);04.01.2013;SETHANAPHAIXANH PHONESAVANH;31.12.2018;15;Xekong;?????;Sekong;?. ?????;999942;999942;Nutrition ;717162,3037;1724959,583;Nutrition 
